"","motif","coef","xaxis","color"
"1","p53_match",0.435261087946162,"2","tan"
"2","RelA_2_match",0.0913753329072324,"3","tan"
"3","CREBZF_match",0,"4","tan"
"4","AR_match",-0.713604073136265,"5","tan"
"5","ANAC013_match",-0.83064325677611,"6","tan"
"6","EKLF_match",0.0863373342552385,"7","tan"
"7","WxxLF_match",0,"8","tan"
"8","stringent_9aa_match",-0.0736208520893975,"9","tan"
"9","moderate_9aa_match",0.794396011735638,"10","tan"
"10","lenient_9aa_match",0.348210365622743,"11","tan"
"11","no_basic",0.92340385578331,"12","red"
