"","motif","coef","xaxis","color"
"1","p53_match",0.290771991954586,"2","tan"
"2","RelA_2_match",0.0280195446583181,"3","tan"
"3","CREBZF_match",-2.06741176961233,"4","tan"
"4","AR_match",0.24782554465306,"5","tan"
"5","ANAC013_match",0.671548010957554,"6","tan"
"6","EKLF_match",-0.0405300830643146,"7","tan"
"7","WxxLF_match",-1.80459078758455,"8","tan"
"8","stringent_9aa_match",0.631273843309142,"9","tan"
"9","moderate_9aa_match",0.0606649712249615,"10","tan"
"10","lenient_9aa_match",0.156943651202075,"11","tan"
