"","motif","coef","xaxis","color"
"1","p53_match",0.739640937707136,"2","tan"
"2","RelA_2_match",0.0997566556435745,"3","tan"
"3","CREBZF_match",0.754382477336267,"4","tan"
"4","AR_match",0.799581847039106,"5","tan"
"5","ANAC013_match",1.45021012979231,"6","tan"
"6","EKLF_match",0.0590841866173235,"7","tan"
"7","WxxLF_match",0.895228464193226,"8","tan"
"8","stringent_9aa_match",0.253852944063078,"9","tan"
"9","moderate_9aa_match",0.36900141688116,"10","tan"
"10","lenient_9aa_match",0.432451581958857,"11","tan"
"11","no_basic",1.74895603301633,"12","red"
