"","motif","coef","xaxis","color"
"1","p53_match",0.766842917448648,"2","tan"
"2","RelA_2_match",0.110666400088513,"3","tan"
"3","CREBZF_match",0.750373241700887,"4","tan"
"4","AR_match",0.806560382619551,"5","tan"
"5","ANAC013_match",1.45286267038663,"6","tan"
"6","EKLF_match",0.0509515004468285,"7","tan"
"7","WxxLF_match",0.874722135748703,"8","tan"
"8","stringent_9aa_match",0.275719520680146,"9","tan"
"9","moderate_9aa_match",0.367939178828625,"10","tan"
"10","lenient_9aa_match",0.454354965616409,"11","tan"
"11","no_basic",1.780771296094,"12","red"
